,Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank,Year,Round,Preparatory,Institute_type
59,Indian Institute  of Technology Bhubaneswar,"Electrical  Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Gender-Neutral,1085,1085,*2023,*1,False,GFTI
60,Indian Institute  of Technology Bhubaneswar,"Electrical  Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Female-only (including Supernumerary),2271,2271,*2023,*1,False,GFTI
61,Indian Institute  of Technology Bhubaneswar,"Electrical  Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))",OBC-NCL,Gender-Neutral,2853,2967,*2023,*1,False,GFTI
62,Indian Institute  of Technology Bhubaneswar,"Electrical  Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))",OBC-NCL,Female-only (including Supernumerary),5790,5790,*2023,*1,False,GFTI
63,Indian Institute  of Technology Bhubaneswar,"Electrical  Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Gender-Neutral,1622,1622,*2023,*1,False,GFTI
64,Indian Institute  of Technology Bhubaneswar,"Electrical  Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,767,767,*2023,*1,False,GFTI
65,Indian Institute  of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,4665,6768,*2023,*1,False,GFTI
66,Indian Institute  of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),10066,11718,*2023,*1,False,GFTI
67,Indian Institute  of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,150,150,*2023,*1,True,GFTI
68,Indian Institute  of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,933,1055,*2023,*1,False,GFTI
69,Indian Institute  of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),1880,1880,*2023,*1,False,GFTI
70,Indian Institute  of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,2019,2574,*2023,*1,False,GFTI
71,Indian Institute  of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),3404,4907,*2023,*1,False,GFTI
72,Indian Institute  of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1242,1554,*2023,*1,False,GFTI
73,Indian Institute  of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1419,1419,*2023,*1,False,GFTI
74,Indian Institute  of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,511,599,*2023,*1,False,GFTI
75,Indian Institute  of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1022,1022,*2023,*1,False,GFTI
76,Indian Institute  of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,3088,4641,*2023,*1,False,GFTI
77,Indian Institute  of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),7181,8092,*2023,*1,False,GFTI
78,Indian Institute  of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,145,145,*2023,*1,False,GFTI
79,Indian Institute  of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Female-only (including Supernumerary),202,202,*2023,*1,True,GFTI
80,Indian Institute  of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,578,622,*2023,*1,False,GFTI
81,Indian Institute  of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),1369,1369,*2023,*1,False,GFTI
82,Indian Institute  of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,1407,1951,*2023,*1,False,GFTI
83,Indian Institute  of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),2392,2405,*2023,*1,False,GFTI
84,Indian Institute  of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OBC-NCL (PwD),Gender-Neutral,21,21,*2023,*1,True,GFTI
85,Indian Institute  of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,726,964,*2023,*1,False,GFTI
86,Indian Institute  of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1079,1396,*2023,*1,False,GFTI
87,Indian Institute  of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,373,427,*2023,*1,False,GFTI
88,Indian Institute  of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1021,1021,*2023,*1,False,GFTI
89,Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,5184,9027,*2023,*1,False,GFTI
90,Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),14914,17402,*2023,*1,False,GFTI
91,Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,1391,1447,*2023,*1,False,GFTI
92,Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),3021,3021,*2023,*1,False,GFTI
93,Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,2145,3555,*2023,*1,False,GFTI
94,Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),5430,6723,*2023,*1,False,GFTI
95,Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1563,2016,*2023,*1,False,GFTI
96,Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2245,2280,*2023,*1,False,GFTI
97,Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,778,827,*2023,*1,False,GFTI
98,Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1481,1481,*2023,*1,False,GFTI
99,Indian Institute  of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,9486,10727,*2023,*1,False,GFTI
